source,time_since_cmd,x,y,z
odom,2.406644813,1.2787807887928695,-0.22126089685876965,-0.4969719844540718
cmd_pose,2.407367847,20.0,0.0,0.0
odom,2.458446983,1.291322623528966,-0.23071370226756918,-0.5085106456673595
odom,2.507059731,1.3042378072382097,-0.2403765377074615,-0.520090914026275
cmd_pose,2.508438696,20.0,0.0,0.0
odom,2.556781718,1.3175277417343663,-0.2502409441450734,-0.5317090151045238
odom,2.607435875,1.3312007326656543,-0.26030225288283254,-0.5433636706221157
cmd_pose,2.608671882,20.0,0.0,0.0
odom,2.657462176,1.3452580177167943,-0.2705514875086059,-0.5550512745461587
odom,2.707039809,1.3597078675830123,-0.2809836253701396,-0.5667700981250051
cmd_pose,2.707427411,20.0,0.0,0.0
odom,2.757424146,1.3745513525598072,-0.2915892606265623,-0.5785166280534522
cmd_pose,2.807351065,20.0,0.0,0.0
odom,2.808279157,1.3897966859045217,-0.3023630801089611,-0.5902885956408824
odom,2.857509424,1.405444919765141,-0.3132961905501591,-0.6020825832778857
cmd_pose,2.907535713,20.0,0.0,0.0
odom,2.908610711,1.4215043072681606,-0.32438356849196753,-0.613896060709762
odom,2.95776707,1.437975630426291,-0.3356151077057754,-0.6257260773614548
cmd_pose,3.007509112,20.0,0.0,0.0
odom,3.008417595,1.4548669481090228,-0.3469849177965955,-0.6375698912603338
odom,3.05802717,1.4721787679641203,-0.3584819516014839,-0.6494249994824636
cmd_pose,3.107670142,20.0,0.0,0.0
odom,3.109028397,1.4899189141878355,-0.3700996224627452,-0.6612884383400967
odom,3.159579828,1.5080875663932145,-0.3818258839977935,-0.6731581744331084
cmd_pose,3.207601049,20.0,0.0,0.0
odom,3.209539336,1.5266922382919221,-0.3936534210778175,-0.6850310217516064
odom,3.259441772,1.5457327416071187,-0.4055693077953661,-0.6969054331211348
cmd_pose,3.307908321,20.0,0.0,0.0
odom,3.309226535,1.5652162157068448,-0.41756563751610803,-0.7087780114260165
odom,3.359480946,1.5851420439904766,-0.4296285711281986,-0.7206477231541847
cmd_pose,3.408000964,20.0,0.0,0.0
odom,3.410100456,1.6055169144894152,-0.441749628200905,-0.7325109720491118
odom,3.461403459,1.62633969304483,-0.45391398395643395,-0.7443708554861606
cmd_pose,3.508198644,20.0,0.0,0.0
