source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
odom,2.015104758,0.0002804123613966664,0.00016779446583847074,-9.302732144101755,-0.0005790910079546633,-0.0011040894946926455,-0.007844111707894928,0.9999684572782815,0.0009579550707098537,-0.0005407729423330882,0.3449105625079442,0.0,0.0,0.0
odom,2.063443929,0.0002889655850891086,0.00015987717678116176,-9.285883581131486,-0.000594598262077007,-0.00109406130524967,-0.007823130278060465,0.9999686235654694,0.0009297877099429617,-0.0005447782932507199,0.33942077534554993,0.0,0.0,0.0
cmd_pose,2.099674519,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,2.11377168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005,-0.01,9.625
odom,2.114266123,0.0002971509349302198,0.0001519443507927578,-9.269327855016208,-0.0006099182993336959,-0.001082356767008376,-0.0078012367005056,0.9999687981179411,0.0009029836261543059,-0.00054832681254461,0.334041299747725,0.0,0.0,0.0
odom,2.16452071,0.00030527581485068425,0.00014406488204944827,-9.253015853572,-0.0006249708240294353,-0.0010692136468953442,-0.007780021402922576,0.9999689682488235,0.0008792204218041975,-0.0005518452365620175,0.3286757147630664,0.0,0.0,0.0
cmd_pose,2.200410891,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,2.214663733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.015,0.01,9.64
odom,2.216101086,0.0003131905168674202,0.0001361421675624921,-9.236985821651178,-0.0006398052810198549,-0.001054586753065178,-0.007757952602054104,0.9999691458577145,0.0008565610743547505,-0.0005552608397518169,0.3234188009650733,0.0,0.0,0.0
odom,2.266192806,0.00032086772946550814,0.0001282670272356605,-9.22119363007834,-0.000654339485114908,-0.0010387204651637677,-0.007736678484474612,0.9999693178821345,0.0008316293772760424,-0.0005583750083576675,0.31822073565035613,0.0,0.0,0.0
cmd_pose,2.300796333,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,2.315773008,0.00032804847572441516,0.00012037726415136783,-9.205670786044633,-0.0006686492010837383,-0.0010215664563103816,-0.007714560800638373,0.9999694969657197,0.000803591425878201,-0.00056093098527112,0.3131488973341082,0.0,0.0,0.0
mpu,2.316322465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.01,0.01,9.695
odom,2.366329631,0.0003348998408771634,0.00011255892727700677,-9.190379062121346,-0.0006826628897813944,-0.0010033508041817755,-0.00769323877256638,0.9999696702079173,0.000774332639086304,-0.0005629082436680718,0.3081442643267699,0.0,0.0,0.0
cmd_pose,2.39995633,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,2.415779372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.045,-0.02,9.700000000000001
odom,2.417089348,0.00034130972049938865,0.00010474858709554989,-9.175345702577138,-0.0006964527585797195,-0.0009840194760685865,-0.007671028503176108,0.9999698505359695,0.0007455130778923527,-0.0005643472934649698,0.303249462222613,0.0,0.0,0.0
odom,2.465694454,0.0003475761556843016,9.70011705539557e-05,-9.160537644785965,-0.0007099370344260327,-0.0009637866152630015,-0.007649612413643405,0.9999700248180885,0.0007183920724874844,-0.0005655015826340375,0.29841284014835645,0.0,0.0,0.0
cmd_pose,2.500342258,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
